deployment_level,mach,cd_increment
0.9696,0.1767,0.09384337625
0.9696,0.1786,0.09484358025
0.9696,0.1806,0.13287451824999996
0.9696,0.1828,0.09759855825000002
0.9696,0.1854,0.08920259366666666
0.9696,0.1883,0.09255590066666669
0.9696,0.1917,0.09542008966666665
0.9696,0.2651,0.09824747275000001
0.9696,0.2678,0.09904801175
0.9696,0.2709,0.10017792375000001
0.9696,0.2742,0.10155956775000002
0.9696,0.2781,0.09564585999999997
0.9696,0.2824,0.09790666599999998
0.9696,0.2876,0.09469100400000002
0.9696,0.3535,0.10440692600000001
0.9696,0.3571,0.10247948699999998
0.9696,0.3611,0.103553269
0.9696,0.3656,0.10011514600000004
0.9696,0.3707,0.10161899500000005
0.9696,0.3766,0.09713421449999998
0.9696,0.3835,0.09877161649999999
0.9696,0.4419,0.106459519
0.9696,0.4464,0.1048823995
0.9696,0.4514,0.10562387649999999
0.9696,0.457,0.10207861499999998
0.9696,0.4634,0.103206676
0.9696,0.4707,0.100745582
0.9696,0.4793,0.09934235999999996
0.9696,0.5302,0.10772256699999999
0.9696,0.5357,0.10624543049999996
0.9696,0.5417,0.10734660649999994
0.9696,0.5485,0.10568723200000002
0.9696,0.5561,0.10269727000000006
0.9696,0.5649,0.10389874600000004
0.9696,0.5752,0.10110639999999999
0.9696,0.6186,0.107957745
0.9696,0.625,0.10882946299999996
0.9696,0.632,0.107542727
0.9696,0.6399,0.106804656
0.9696,0.6488,0.105950078
0.9696,0.659,0.104414499
0.9696,0.6711,0.10275777799999997
0.9696,0.707,0.10879655649999997
0.9696,0.7142,0.10955108049999995
0.9696,0.7223,0.108444704
0.9696,0.7313,0.10772074400000003
0.9696,0.7415,0.106929416
0.9696,0.7532,0.10594911700000004
0.9696,0.767,0.104286938
0.9696,0.7953,0.10946609599999996
0.9696,0.8035,0.11011014599999996
0.9696,0.8126,0.109173731
0.9696,0.8227,0.10845517100000002
0.9696,0.8342,0.10772847099999999
0.9696,0.8473,0.106820407
0.9696,0.8628,0.10561106200000003
0.9696,0.8837,0.11038050599999999
0.9696,0.8928,0.11001304799999995
0.9696,0.9029,0.10959515400000003
0.9696,0.9141,0.109063572
0.9696,0.9268,0.10847035800000004
0.9696,0.9415,0.107541585
0.9696,0.9587,0.10645048299999998
1.0,0.0884,0.08816586950000005
1.0,0.0893,0.08975112350000009
1.0,0.0903,0.09164541350000005
1.0,0.0914,0.09403023350000006
1.0,0.0927,0.09676214450000004
1.0,0.0941,0.13952479550000002
1.0,0.0959,0.08796705199999999
1.0,0.1767,0.09940951325000003
1.0,0.1786,0.10073550225
1.0,0.1806,0.10215808925000003
1.0,0.1828,0.10352648824999999
1.0,0.1854,0.09529731666666669
1.0,0.1883,0.13233956666666663
1.0,0.1917,0.10037136566666666
1.0,0.2651,0.10353067675
1.0,0.2678,0.10470874675000003
1.0,0.2709,0.10599746775000002
1.0,0.2742,0.10717603075000004
1.0,0.2781,0.10114225199999999
1.0,0.2824,0.13765638200000002
1.0,0.2876,0.09979479299999999
1.0,0.3535,0.109116239
1.0,0.3571,0.10739151699999999
1.0,0.3611,0.108592203
1.0,0.3656,0.105351425
1.0,0.3707,0.10696264500000002
1.0,0.3766,0.13567622749999997
1.0,0.3835,0.1042360585
1.0,0.4419,0.11082859
1.0,0.4464,0.10923170850000002
1.0,0.4514,0.11039313750000002
1.0,0.457,0.10692032600000001
1.0,0.4634,0.10798632000000002
1.0,0.4707,0.138314916
1.0,0.4793,0.105047993
1.0,0.5302,0.11213270799999997
1.0,0.5357,0.11027160949999992
1.0,0.5417,0.11171779149999994
1.0,0.5485,0.11004196599999999
1.0,0.5561,0.10771038900000002
1.0,0.5649,0.10934851900000003
1.0,0.5752,0.10665811399999997
1.0,0.6186,0.11208355799999997
1.0,0.625,0.11290698099999996
1.0,0.632,0.11194755300000003
1.0,0.6399,0.11118171499999996
1.0,0.6488,0.109932154
1.0,0.659,0.10922095099999996
1.0,0.6711,0.10757832599999995
1.0,0.707,0.11296764749999999
1.0,0.7142,0.11402487549999996
1.0,0.7223,0.11287409100000001
1.0,0.7313,0.111764099
1.0,0.7415,0.11094903100000003
1.0,0.7532,0.10993095000000003
1.0,0.767,0.10866746999999999
1.0,0.7953,0.11398379199999997
1.0,0.8035,0.114290693
1.0,0.8126,0.11365292400000004
1.0,0.8227,0.11290259900000005
1.0,0.8342,0.11178052099999997
1.0,0.8473,0.110839344
1.0,0.8628,0.10959839700000001
1.0,0.8837,0.11492990799999997
1.0,0.8928,0.11422254999999998
1.0,0.9029,0.113773756
1.0,0.9141,0.11354261500000001
1.0,0.9268,0.11256191700000001
1.0,0.9415,0.11158480300000001
1.0,0.9587,0.11045846499999995
